学校名称,国家,US News 排名,录取率 (%),科研强度 (1-10),CS 专业实力 (1-10),学费 (万 RMB),热度系数 (0-1),趋势原因
MIT,美国,1,7.8,10,10,58,0.42,搜索结果显示门槛降低或扩招
Stanford,美国,2,8.6,10,10,58,0.42,搜索结果显示门槛降低或扩招
Harvard,美国,3,6.4,10,10,58,0.5,趋势不明显或信息混合
Caltech,美国,4,7.2,10,10,58,0.5,趋势不明显或信息混合
Princeton,美国,5,5.0,10,10,58,0.66,搜索结果显示竞争加剧
Yale,美国,6,8.8,10,10,58,0.5,趋势不明显或信息混合
UPenn,美国,7,9.6,10,10,58,0.5,趋势不明显或信息混合
Columbia,美国,8,13.4,10,9,58,0.42,搜索结果显示门槛降低或扩招
Duke,美国,9,11.2,10,10,58,0.5,趋势不明显或信息混合
Johns Hopkins,美国,10,15.0,10,10,58,0.42,搜索结果显示门槛降低或扩招
Northwestern,美国,11,12.0,10,10,58,0.5,趋势不明显或信息混合
Dartmouth,美国,12,13.6,10,9,58,0.5,趋势不明显或信息混合
Brown,美国,13,14.4,10,9,58,0.5,趋势不明显或信息混合
Vanderbilt,美国,14,9.0,10,9,58,0.66,搜索结果显示竞争加剧
Rice,美国,15,16.0,9,9,58,0.5,趋势不明显或信息混合
Notre Dame,美国,16,16.8,9,9,58,0.5,
Cornell,美国,17,17.6,9,9,58,0.5,
Georgetown,美国,18,18.4,9,9,58,0.5,
UCLA,美国,19,20.0,9,8,58,0.5,
Michigan,美国,20,20.0,9,9,58,0.5,
Berkeley,美国,21,27.6,9,10,58,0.5,
CMU,美国,22,28.2,9,10,58,0.5,
USC,美国,23,28.8,9,9,58,0.5,
NYU,美国,24,29.4,9,8,58,0.5,
Tufts,美国,25,30.0,9,8,58,0.5,
UCSB,美国,26,30.6,9,8,58,0.5,
Boston College,美国,27,31.2,9,8,58,0.5,
UNC Chapel Hill,美国,28,31.8,9,8,58,0.5,
Georgia Tech,美国,29,32.4,9,9,30,0.5,
UIUC,美国,30,33.0,8,9,30,0.5,
Ohio State,美国,31,33.6,8,8,30,0.5,
Purdue,美国,32,34.2,8,8,30,0.5,
Penn State,美国,33,34.8,8,8,35,0.5,
Maryland,美国,34,35.4,8,8,35,0.5,
Washington (Seattle),美国,35,36.0,8,8,35,0.5,
Rutgers,美国,36,36.6,8,7,35,0.5,
Florida,美国,37,37.2,8,7,35,0.5,
Texas A&M,美国,38,37.8,8,7,30,0.5,
Boston University,美国,39,38.4,8,7,35,0.5,
Wisconsin-Madison,美国,40,39.0,8,7,35,0.5,
Irvine,美国,41,39.6,8,7,35,0.5,
San Diego,美国,42,40.2,8,7,35,0.5,
Davis,美国,43,40.8,8,7,35,0.5,
Virginia Tech,美国,44,41.4,8,7,35,0.5,
Northeastern,美国,45,42.0,7,7,58,0.5,
Syracuse,美国,46,42.6,7,7,35,0.5,
Indiana Bloomington,美国,47,43.2,7,7,35,0.5,
Connecticut,美国,48,43.8,7,6,35,0.5,
University of Oxford,英国,1,4.5,10,9,45,0.5,
University of Cambridge,英国,2,5.0,10,9,45,0.5,
Imperial College London,英国,3,11.0,9,10,42,0.5,
LSE,英国,4,9.0,8,7,40,0.5,
UCL,英国,5,12.0,9,8,40,0.5,
University of Edinburgh,英国,6,15.0,8,9,35,0.5,
King's College London,英国,7,18.0,7,7,38,0.5,
University of Manchester,英国,8,25.0,8,8,32,0.5,
University of Warwick,英国,9,20.0,7,8,32,0.5,
University of Bristol,英国,10,22.0,7,7,32,0.5,
University of Glasgow,英国,11,25.0,7,7,30,0.5,
Durham University,英国,12,18.0,6,6,32,0.5,
University of Southampton,英国,13,28.0,7,8,30,0.5,
University of Birmingham,英国,14,30.0,7,7,30,0.5,
University of Leeds,英国,15,32.0,6,7,28,0.5,
University of Sheffield,英国,16,35.0,6,7,28,0.5,
University of Nottingham,英国,17,35.0,6,7,28,0.5,
Queen Mary University of London,英国,18,40.0,6,8,32,0.5,
Lancaster University,英国,19,38.0,5,6,28,0.5,
Newcastle University,英国,20,40.0,5,6,28,0.5,
University of York,英国,21,42.0,5,6,28,0.5,
University of Exeter,英国,22,40.0,5,6,28,0.5,
University of Bath,英国,23,45.0,5,7,28,0.5,
Loughborough University,英国,24,50.0,4,6,26,0.5,
University of Liverpool,英国,25,48.0,5,6,28,0.5,
University of Aberdeen,英国,26,50.0,5,5,26,0.5,
Cardiff University,英国,27,52.0,5,6,28,0.5,
University of St Andrews,英国,28,35.0,6,5,32,0.5,
Heriot-Watt University,英国,29,55.0,4,7,26,0.5,
University of Strathclyde,英国,30,55.0,4,7,26,0.5,
"City, University of London",英国,31,50.0,4,7,30,0.5,
Brunel University,英国,32,60.0,4,6,26,0.5,
Queen's University Belfast,英国,33,55.0,4,5,26,0.5,
University of Sussex,英国,34,50.0,4,6,28,0.5,
Royal Holloway,英国,35,55.0,4,5,28,0.5,
"Goldsmiths, University of London",英国,36,60.0,4,6,28,0.5,
University of Leicester,英国,37,60.0,4,5,26,0.5,
Swansea University,英国,38,65.0,4,5,24,0.5,
University of Kent,英国,39,65.0,4,5,26,0.5,
Oxford Brookes University,英国,40,70.0,3,5,24,0.5,
University of Toronto,加拿大,1,18.0,10,10,35,0.5,
University of British Columbia,加拿大,2,22.0,9,9,35,0.5,
McGill University,加拿大,3,25.0,9,8,30,0.5,
University of Waterloo,加拿大,4,17.0,8,10,32,0.5,
University of Alberta,加拿大,5,35.0,8,8,28,0.5,
University of Montreal,加拿大,6,30.0,8,9,25,0.5,
McMaster University,加拿大,7,35.0,7,7,30,0.5,
Queen's University,加拿大,8,30.0,6,6,32,0.5,
University of Calgary,加拿大,9,40.0,7,7,28,0.5,
Simon Fraser University,加拿大,10,45.0,6,8,30,0.5,
University of Ottawa,加拿大,11,45.0,6,7,28,0.5,
York University,加拿大,12,50.0,5,6,28,0.5,
Carleton University,加拿大,13,55.0,5,7,26,0.5,
University of Victoria,加拿大,14,55.0,5,6,28,0.5,
Dalhousie University,加拿大,15,60.0,5,5,26,0.5,
UNSW Sydney,澳洲,1,25.0,8,10,30,0.5,
University of Melbourne,澳洲,2,36.0,9,9,30,0.46,
University of Sydney,澳洲,3,33.0,9,8,30,0.47,
Australian National University,澳洲,4,28.0,9,8,30,0.5,
Monash University,澳洲,5,35.0,8,8,28,0.5,
University of Queensland,澳洲,6,38.0,8,7,28,0.48,
University of Technology Sydney,澳洲,7,40.0,6,9,28,0.5,
University of Western Australia,澳洲,8,48.0,7,6,28,0.47,
University of Adelaide,澳洲,9,53.0,7,6,26,0.47,
Macquarie University,澳洲,10,61.0,5,7,26,0.46,
Queensland University of Technology,澳洲,11,66.0,5,7,26,0.45,
RMIT University,澳洲,12,68.0,5,7,26,0.48,
University of Wollongong,澳洲,13,70.0,5,7,24,0.5,
Curtin University,澳洲,14,75.0,5,6,24,0.5,
Deakin University,澳洲,15,86.0,4,5,24,0.45,
Griffith University,澳洲,16,88.0,4,5,22,0.47,
La Trobe University,澳洲,17,93.0,4,5,22,0.48,
University of Hong Kong (HKU),中国香港,1,15.0,9,9,35,0.5,
Hong Kong University of Science and Technology (HKUST),中国香港,2,12.0,8,10,35,0.5,
Chinese University of Hong Kong (CUHK),中国香港,3,18.0,8,9,32,0.5,
City University of Hong Kong (CityU),中国香港,4,25.0,7,9,30,0.5,
Hong Kong Polytechnic University (PolyU),中国香港,5,30.0,7,8,28,0.5,
Hong Kong Baptist University (HKBU),中国香港,6,40.0,5,6,26,0.5,
Lingnan University,中国香港,7,50.0,4,5,24,0.5,
Hong Kong Metropolitan University,中国香港,8,60.0,4,5,24,0.5,
Education University of Hong Kong,中国香港,9,55.0,4,4,24,0.5,
Hang Seng University,中国香港,10,65.0,3,4,22,0.5,
Hong Kong Shue Yan University,中国香港,11,70.0,3,3,20,0.5,
Hong Kong Chu Hai College,中国香港,12,75.0,3,3,20,0.5,
